item_id,item_name,short_description,should_include,manufacturer,model_number,serial_number,category,value,checked_out,last_checked_out_to
000001,T2i DSLR #1,,"Camera body, lens and cap, case, battery, battery charger, USB cable, SD card",Canon,,xxxxxx,Cameras,,,
000002,T2i DSLR #2,,"Camera body, lens and cap, case, battery, battery charger, USB cable, SD card",Canon,,xxxxxx,Cameras,,,
000003,3D video camera #1,,"Camera, case, lens cap, battery, battery charger with power cable, USB cable",Panasonic,,xxxxxx,Cameras,,,
000004,3D video camera #2,,"Camera, case, lens cap, battery, battery charger with power cable, USB cable",Panasonic,,xxxxxx,Cameras,,,
000005,3D video camera #3,,"Camera, case, lens cap, battery, battery charger with power cable, USB cable",Panasonic,,xxxxxx,Cameras,,,
000006,3D video camera #4,,"Camera, case, lens cap, battery, battery charger with power cable, USB cable",Panasonic,,xxxxxx,Cameras,,,
000007,Powershot,,"Camera, case, battery, battery charger, SD card, USB cable",Canon,,xxxxxx,Cameras,,,
000008,MiniDV video camera,,"Camera, case, battery, battery charger, FireWire cable",Sony,,xxxxxx,Cameras,,,
000009,H4N audio recorder #1,,"Recorder, case, USB cable",Zoom,,xxxxxx,Audio,,,
000010,H4N audio recorder #2,,"Recorder, case, USB cable",Zoom,,xxxxxx,Audio,,,
